pixel 	Counts (time normalized) 	
753 	38668.769 	
754 	38680.462 	
755 	38699.385 	
756 	38786.462 	
757 	38904.654 	
758 	38890.5 	
759 	38740.769 	
760 	38690.346 	
761 	38679.385 	
762 	38692 	
763 	38698.346 	
764 	38675.385 	
765 	38687.962 	
766 	38674.192 	
767 	38716.308 	
768 	38686.769 	
769 	38687.154 	
770 	38686.423 	
771 	38743.731 	
772 	38850.038 	
773 	38947.538 	
774 	38884.269 	
775 	38736.231 	
776 	38689.308 	
777 	38695.808 	
778 	38704.308 	
779 	38711.885 	
780 	38688.808 	
781 	38687.538 	
782 	38682.192 	
783 	38682.615 	
784 	38694.692 	
785 	38705.038 	
786 	38722 	
787 	38862.731 	
788 	39098.346 	
789 	39144.808 	
790 	39004.308 	
791 	38885.115 	
792 	38865.077 	
793 	38816.923 	
794 	38811.269 	
795 	38820.538 	
796 	38819 	
797 	38799.192 	
798 	38786.615 	
799 	38796.654 	
800 	38803.885 	
801 	38817.308 	
802 	38847.5 	
803 	39036.077 	
804 	39291.269 	
805 	39235.462 	
806 	38993.923 	
807 	38844.692 	
808 	38853.846 	
809 	38805.308 	
810 	38806.769 	
811 	38823.923 	
812 	38833.077 	
813 	38798 	
814 	38785.769 	
815 	38852.346 	
816 	38802.077 	
817 	38833.923 	
818 	38875.962 	
819 	39063.462 	
820 	39289.038 	
821 	39256.231 	
822 	39088.308 	
823 	39000.231 	
824 	38997.923 	
825 	39051.038 	
826 	39080 	
827 	39024.231 	
828 	38986.615 	
829 	39002.962 	
830 	39043.769 	
831 	39094.192 	
832 	39184.423 	
833 	39209.192 	
834 	39330.077 	
835 	39635.962 	
836 	39898.885 	
837 	39880.346 	
838 	39843.346 	
839 	39920.231 	
840 	40094.769 	
841 	40246.077 	
842 	40446.923 	
843 	40664.077 	
844 	40978.808 	
845 	41359.385 	
846 	41706.846 	
847 	42041.577 	
848 	42359.385 	
849 	42488.577 	
850 	42295.577 	
851 	42093.538 	
852 	41978.115 	
853 	41767.962 	
854 	41613.077 	
855 	41721.692 	
856 	41743.192 	
857 	41596.423 	
858 	41341.231 	
859 	41249.308 	
860 	41116.115 	
861 	41031.654 	
862 	41230.731 	
863 	41272.808 	
864 	41160.577 	
865 	41064 	
866 	40842.846 	
867 	40725.654 	
868 	40703.385 	
869 	40615.769 	
870 	40416 	
871 	40134.769 	
872 	40004.808 	
873 	39991.962 	
874 	40029.808 	
875 	40022.192 	
